ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,theta_rake,psi_dip,beta_crossing
1,-118.50202374940392,34.2863413839527,-118.5020270016175,34.285650825882165,-118.5020253755,34.2859961049,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,1,,38.4,-118.5020253755,34.28599610490001,0.25,45,45,90
2,-118.5020270016175,34.285650825882165,-118.50203025383112,34.28496026781163,-118.5020286277,34.2853055468,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,2,,115.2,-118.50202862770001,34.2853055468,0.25,45,45,90
3,-118.50203025383112,34.28496026781163,-118.5020335060447,34.28426970974109,-118.5020318799,34.2846149888,0.076787,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,3,,192.0,-118.50203187989999,34.2846149888,0.25,45,45,90
4,-118.5020335060447,34.28426970974109,-118.5020335060447,34.28381353056396,-118.502033506,34.2840416202,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,4,,255.7,-118.502033506,34.2840416202,0.25,45,45,90
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,,273.9,-118.502033506,34.283585441,0.25,45,45,90
6,-118.5020335060447,34.28335735138684,-118.50214678685631,34.283204052668616,-118.5020901465,34.283280702,0.019972,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,6,,238.6,-118.5020901465,34.283280702,0.25,45,45,90
7,-118.50214678685631,34.283204052668616,-118.50215082752726,34.282518775090104,-118.5021488072,34.2828614139,0.0762,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,7,,190.5,-118.5021488072,34.2828614139,0.25,45,45,90
8,-118.50215082752726,34.282518775090104,-118.5021548681982,34.28183349751159,-118.5021528479,34.2821761363,0.0762,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,8,,114.3,-118.50215284790002,34.2821761363,0.25,45,45,90
9,-118.5021548681982,34.28183349751159,-118.50215890886912,34.28114821993308,-118.5021568885,34.2814908587,0.0762,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,9,,38.1,-118.5021568885,34.28149085869999,0.25,45,45,90
10,-118.50215890886912,34.28114821993308,-118.502819355596,34.28115100946724,-118.5024891322,34.2811496147,0.060682,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,10,,30.3,-118.50248913219998,34.2811496147,0.25,45,45,90
11,-118.502819355596,34.28115100946724,-118.50347980232289,34.281153799001395,-118.503149579,34.2811524042,0.060682,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,11,,30.3,-118.503149579,34.2811524042,0.25,45,45,90
12,-118.50215727584543,34.28298642602678,-118.5020026570848,34.2829264588273,-118.5020799665,34.2829564424,0.015693,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,1,,7.8,-118.50207996650002,34.28295644239999,0.25,45,45,90
13,-118.5020026570848,34.2829264588273,-118.50201493598688,34.2820326233869,-118.5020087965,34.2824795411,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,2,,49.7,-118.50200879650001,34.2824795411,0.25,45,45,90
14,-118.50201493598688,34.2820326233869,-118.50202721488895,34.2811387879465,-118.5020210754,34.2815857057,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,3,,149.1,-118.5020210754,34.281585705699996,0.25,45,45,90
15,-118.50202721488895,34.2811387879465,-118.50203949379105,34.28024495250611,-118.5020333543,34.2806918702,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,4,,149.1,-118.50203335430001,34.2806918702,0.25,45,45,90
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,,49.7,-118.5020456332,34.2797980348,0.25,45,45,90
17,-118.50205177269314,34.27935111706571,-118.50140306405444,34.279355010182684,-118.5017274184,34.2793530636,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,6,,29.8,-118.5017274184,34.2793530636,0.25,45,45,90
18,-118.50140306405444,34.279355010182684,-118.50075435541572,34.279358903299666,-118.5010787097,34.2793569567,0.059605,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,7,,29.8,-118.50107870970001,34.279356956700006,0.25,45,45,90
19,-118.501942461846,34.286329871650025,-118.50195343098582,34.28552461370892,-118.5019479464,34.2859272427,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,1,,44.8,-118.5019479464,34.28592724269999,0.25,45,45,90
20,-118.50195343098582,34.28552461370892,-118.50196440012564,34.28471935576782,-118.5019589156,34.2851219847,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,2,,134.3,-118.5019589156,34.285121984699984,0.25,45,45,90
21,-118.50196440012564,34.28471935576782,-118.50197536926548,34.283914097826724,-118.5019698847,34.2843167268,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,3,,223.9,-118.50196988469999,34.28431672680001,0.25,45,45,90
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,,313.4,-118.5019808538,34.2835114689,0.25,45,45,90
23,-118.50198633840532,34.28310883988562,-118.50206997547808,34.282929638723424,-118.5020281569,34.2830192393,0.021357,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,5,,368.9,-118.50202815690001,34.2830192393,0.25,45,45,90
24,-118.50206997547808,34.282929638723424,-118.5020721472376,34.28213439633941,-118.5020710614,34.2825320175,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,6,,423.8,-118.5020710614,34.28253201750001,0.25,45,45,90
25,-118.5020721472376,34.28213439633941,-118.50207431899716,34.2813391539554,-118.5020732331,34.2817367751,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,7,,397.9,-118.50207323310002,34.28173677509999,0.25,45,45,90
26,-118.50207431899716,34.2813391539554,-118.5020764907567,34.280543911571385,-118.5020754049,34.2809415328,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,8,,309.5,-118.5020754049,34.2809415328,0.25,45,45,90
27,-118.5020764907567,34.280543911571385,-118.50207866251624,34.27974866918737,-118.5020775766,34.2801462904,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,9,,221.1,-118.50207757660002,34.28014629039998,0.25,45,45,90
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,,132.6,-118.50207974839999,34.279351047999995,0.25,45,45,90
29,-118.50208083427576,34.27895342680336,-118.50208300603532,34.27815818441935,-118.5020819202,34.2785558056,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,11,,44.2,-118.50208192020001,34.27855580559999,0.25,45,45,90
30,-118.50214856234126,34.28635373468247,-118.5021557256807,34.28553207065808,-118.502152144,34.2859429027,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,1,,45.7,-118.502152144,34.2859429027,0.25,45,45,90
31,-118.5021557256807,34.28553207065808,-118.50216288902014,34.284710406633685,-118.5021593074,34.2851212386,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,2,,137.1,-118.50215930740002,34.2851212386,0.25,45,45,90
32,-118.50216288902014,34.284710406633685,-118.50217005235956,34.28388874260929,-118.5021664707,34.2842995746,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,3,,228.4,-118.5021664707,34.2842995746,0.25,45,45,90
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,,319.8,-118.50217363400002,34.283477910600006,0.25,45,45,90
34,-118.50217721569902,34.2830670785849,-118.50218437903844,34.282245414560506,-118.5021807974,34.2826562466,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,5,,411.2,-118.5021807974,34.28265624659999,0.25,45,45,90
35,-118.50218437903844,34.282245414560506,-118.50219154237789,34.281423750536106,-118.5021879607,34.2818345825,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,6,,411.2,-118.5021879607,34.281834582500004,0.25,45,45,90
36,-118.50219154237789,34.281423750536106,-118.50219870571732,34.28060208651171,-118.502195124,34.2810129185,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,7,,319.8,-118.502195124,34.28101291849999,0.25,45,45,90
37,-118.50219870571732,34.28060208651171,-118.50220586905677,34.27978042248732,-118.5022022874,34.2801912545,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,8,,228.4,-118.5022022874,34.280191254500004,0.25,45,45,90
38,-118.50220586905677,34.27978042248732,-118.5022130323962,34.27895875846293,-118.5022094507,34.2793695905,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,9,,137.1,-118.50220945070001,34.2793695905,0.25,45,45,90
39,-118.5022130323962,34.27895875846293,-118.50222019573565,34.278137094438534,-118.5022166141,34.2785479265,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,10,,45.7,-118.5022166141,34.2785479265,0.25,45,45,90
40,-118.50222362676791,34.286346843496844,-118.50223222370008,34.28552567917384,-118.5022279252,34.2859362613,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,1,,45.7,-118.5022279252,34.28593626129999,0.25,45,45,90
41,-118.50223222370008,34.28552567917384,-118.50224082063222,34.28470451485083,-118.5022365222,34.285115097,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,2,,137.0,-118.50223652220001,34.285115096999995,0.25,45,45,90
42,-118.50224082063222,34.28470451485083,-118.5022494175644,34.28388335052782,-118.5022451191,34.2842939327,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,3,,228.3,-118.5022451191,34.28429393270001,0.25,45,45,90
43,-118.5022494175644,34.28388335052782,-118.50225801449652,34.283062186204816,-118.502253716,34.2834727684,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,4,,319.6,-118.502253716,34.283472768399996,0.25,45,45,90
44,-118.50225801449652,34.283062186204816,-118.5022666114287,34.282241021881816,-118.502262313,34.282651604,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,5,,410.9,-118.50226231300002,34.282651603999994,0.25,45,45,90
45,-118.5022666114287,34.282241021881816,-118.50227520836084,34.28141985755881,-118.5022709099,34.2818304397,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,6,,410.9,-118.5022709099,34.2818304397,0.25,45,45,90
46,-118.50227520836084,34.28141985755881,-118.502283805293,34.2805986932358,-118.5022795068,34.2810092754,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,7,,319.6,-118.50227950680001,34.2810092754,0.25,45,45,90
47,-118.502283805293,34.2805986932358,-118.50229240222517,34.2797775289128,-118.5022881038,34.2801881111,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,8,,228.3,-118.5022881038,34.2801881111,0.25,45,45,90
48,-118.50229240222517,34.2797775289128,-118.50230099915731,34.27895636458979,-118.5022967007,34.2793669468,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,9,,137.0,-118.50229670070001,34.2793669468,0.25,45,45,90
49,-118.50230099915731,34.27895636458979,-118.50230959608946,34.27813520026678,-118.5023052976,34.2785457824,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,10,,45.7,-118.50230529760002,34.278545782399995,0.25,45,45,90
50,-118.50198325225752,34.28633630730642,-118.5019904136899,34.285601484847184,-118.501986833,34.2859688961,0.081711,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,1,,40.9,-118.50198683300002,34.28596889610001,0.25,45,45,90
51,-118.5019904136899,34.285601484847184,-118.50199757512227,34.28486666238795,-118.5019939944,34.2852340736,0.081711,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,2,,122.6,-118.5019939944,34.285234073599995,0.25,45,45,90
52,-118.50199757512227,34.28486666238795,-118.50200473655464,34.28413183992871,-118.5020011558,34.2844992512,0.081711,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,3,,40.9,-118.50200115580002,34.2844992512,0.25,45,45,90
53,-118.50200473655464,34.28413183992871,-118.50102758752024,34.28412497397571,-118.501516162,34.284128407,0.089779,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,4,,44.9,-118.501516162,34.28412840699999,0.25,45,45,90
54,-118.50102758752024,34.28412497397571,-118.50103791573392,34.283345817205635,-118.5010327516,34.2837353956,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,5,,43.3,-118.5010327516,34.2837353956,0.25,45,45,90
55,-118.50103791573392,34.283345817205635,-118.5010482439476,34.28256666043557,-118.5010430798,34.2829562388,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,6,,130.0,-118.5010430798,34.28295623879999,0.25,45,45,90
56,-118.5010482439476,34.28256666043557,-118.5010585721613,34.2817875036655,-118.5010534081,34.2821770821,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,7,,216.6,-118.50105340809999,34.28217708209999,0.25,45,45,90
57,-118.5010585721613,34.2817875036655,-118.501068900375,34.28100834689543,-118.5010637363,34.2813979253,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,8,,130.0,-118.5010637363,34.28139792529999,0.25,45,45,90
58,-118.501068900375,34.28100834689543,-118.50107922858868,34.28022919012536,-118.5010740645,34.2806187685,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,9,,43.3,-118.5010740645,34.280618768500005,0.25,45,45,90
59,-118.50107922858868,34.28022919012536,-118.50035458343768,34.28021294445332,-118.500716906,34.2802210673,0.066605,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,10,,33.3,-118.500716906,34.2802210673,0.25,45,45,90
60,-118.5019032883998,34.28632582786358,-118.50191673704828,34.28550980115187,-118.5019100127,34.2859178145,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,1,,45.4,-118.50191001270001,34.28591781449999,0.25,45,45,90
61,-118.50191673704828,34.28550980115187,-118.50193018569678,34.284693774440164,-118.5019234614,34.2851017878,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,2,,136.1,-118.5019234614,34.285101787799995,0.25,45,45,90
62,-118.50193018569678,34.284693774440164,-118.50194363434528,34.283877747728454,-118.50193691,34.2842857611,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,3,,226.9,-118.50193691000001,34.2842857611,0.25,45,45,90
63,-118.50194363434528,34.283877747728454,-118.50195708299375,34.28306172101674,-118.5019503587,34.2834697344,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,4,,317.6,-118.50195035870001,34.2834697344,0.25,45,45,90
64,-118.50195708299375,34.28306172101674,-118.50197053164224,34.28224569430503,-118.5019638073,34.2826537077,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,5,,408.4,-118.5019638073,34.28265370769999,0.25,45,45,90
65,-118.50197053164224,34.28224569430503,-118.50198398029072,34.28142966759333,-118.501977256,34.2818376809,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,6,,408.4,-118.501977256,34.281837680900004,0.25,45,45,90
66,-118.50198398029072,34.28142966759333,-118.50199742893922,34.28061364088162,-118.5019907046,34.2810216542,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,7,,317.6,-118.50199070459999,34.2810216542,0.25,45,45,90
67,-118.50199742893922,34.28061364088162,-118.50201087758772,34.27979761416991,-118.5020041533,34.2802056275,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,8,,226.9,-118.5020041533,34.2802056275,0.25,45,45,90
68,-118.50201087758772,34.27979761416991,-118.5020243262362,34.278981587458205,-118.5020176019,34.2793896008,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,9,,136.1,-118.5020176019,34.2793896008,0.25,45,45,90
69,-118.5020243262362,34.278981587458205,-118.50203777488468,34.278165560746494,-118.5020310506,34.2785735741,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,10,,45.4,-118.5020310506,34.2785735741,0.25,45,45,90
70,-118.50208350337356,34.286355191643594,-118.50208908703952,34.2855353138449,-118.5020862952,34.2859452527,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,1,,45.6,-118.50208629520002,34.2859452527,0.25,45,45,90
71,-118.50208908703952,34.2855353138449,-118.50209467070546,34.28471543604621,-118.5020918789,34.2851253749,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,2,,136.8,-118.5020918789,34.28512537489999,0.25,45,45,90
72,-118.50209467070546,34.28471543604621,-118.5021002543714,34.28389555824752,-118.5020974625,34.2843054971,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,3,,227.9,-118.5020974625,34.28430549709999,0.25,45,45,90
73,-118.5021002543714,34.28389555824752,-118.50210583803737,34.28307568044883,-118.5021030462,34.2834856193,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,4,,319.1,-118.5021030462,34.2834856193,0.25,45,45,90
74,-118.50210583803737,34.28307568044883,-118.50211142170328,34.28225580265014,-118.5021086299,34.2826657415,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,5,,410.3,-118.5021086299,34.282665741500004,0.25,45,45,90
75,-118.50211142170328,34.28225580265014,-118.50211700536924,34.28143592485146,-118.5021142135,34.2818458638,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,6,,410.3,-118.5021142135,34.2818458638,0.25,45,45,90
76,-118.50211700536924,34.28143592485146,-118.50212258903518,34.28061604705277,-118.5021197972,34.281025986,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,7,,319.1,-118.5021197972,34.281025986,0.25,45,45,90
77,-118.50212258903518,34.28061604705277,-118.50212817270112,34.27979616925408,-118.5021253809,34.2802061082,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,8,,227.9,-118.50212538090001,34.2802061082,0.25,45,45,90
78,-118.50212817270112,34.27979616925408,-118.50213375636709,34.278976291455386,-118.5021309645,34.2793862304,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,9,,136.8,-118.50213096450001,34.2793862304,0.25,45,45,90
79,-118.50213375636709,34.278976291455386,-118.502139340033,34.278156413656696,-118.5021365482,34.2785663526,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,10,,45.6,-118.5021365482,34.278566352599995,0.25,45,45,90
