ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,n_crossings_with_segment,def_poly_index_crossed,crossing_algo_index,freeface_dist_m,freeface_height_m,lh_ratio,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,theta_rake,psi_dip,beta_crossing,event_id,slip_dir,pgdef_m,sigma,sigma_mu,dist_type,amu,bmu,ls_cond
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,1,1,19,521824.8395719808,2.5,208729.93582879234,upper,146.0,-118.50203350606168,34.283750128897665,1,45,45,17.5,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
5,-118.5020335060447,34.28381353056396,-118.5020335060447,34.28335735138684,-118.502033506,34.283585441,0.050725,Line 3003,Gas Transmission,762,1958,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,1,5,1,0,7,521824.8395719808,2.5,208729.93582879234,upper,146.0,-118.50203350606168,34.283750128897665,1,45,45,15.7,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,0,5,522187.6728772907,2.5,208875.06915091627,lower,14.5,-118.50204998111514,34.27948154006449,1,45,45,163.7,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
16,-118.50203949379105,34.28024495250611,-118.50205177269314,34.27935111706571,-118.5020456332,34.2797980348,0.099396,Line 3000,Gas Transmission,762,1956,9.5,0.7,22458,2.8,392000,25.0,7.9,Clay,,48.0,,7.5,3200,2,5,1,1,17,522187.6728772907,2.5,208875.06915091627,lower,14.5,-118.50204998111514,34.27948154006449,1,45,45,161.9,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,1,1,21,521832.37653859844,2.5,208732.9506154394,upper,236.2,-118.50197828522346,34.28370004164218,1,45,45,18.1,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
22,-118.50197536926548,34.283914097826724,-118.50198633840532,34.28310883988562,-118.5019808538,34.2835114689,0.089546,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,4,1,0,9,521832.37653859844,2.5,208732.9506154394,upper,236.2,-118.50197828522346,34.28370004164218,1,45,45,16.3,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,0,3,522187.65752231225,2.5,208875.0630089249,lower,144.8,-118.502079447488,34.279461270948524,1,45,45,164.2,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
28,-118.50207866251624,34.27974866918737,-118.50208083427576,34.27895342680336,-118.5020797484,34.279351048,0.088427,Mobil Oil Line,Oil Transmission,406,1991,9.5,0.7,11834,2.0,392000,25.0,7.9,Sand,39.0,,0.6,7.5,3450,3,10,1,1,15,522187.65752231225,2.5,208875.0630089249,lower,144.8,-118.502079447488,34.279461270948524,1,45,45,162.4,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,1,0,10,521806.1852889434,2.5,208722.47411557735,upper,247.9,-118.50217018005313,34.28387409670631,1,45,45,16.1,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
33,-118.50217005235956,34.28388874260929,-118.50217721569902,34.2830670785849,-118.502173634,34.2834779106,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,4,1,1,22,521806.1852889434,2.5,208722.47411557735,upper,247.9,-118.50217018005313,34.28387409670631,1,45,45,17.9,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
38,-118.50220586905677,34.27978042248732,-118.5022130323962,34.27895875846293,-118.5022094507,34.2793695905,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,9,1,0,1,522184.14452416176,2.5,208873.6578096647,lower,141.7,-118.50220907658961,34.27941252054343,1,45,45,163.9,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
38,-118.50220586905677,34.27978042248732,-118.5022130323962,34.27895875846293,-118.5022094507,34.2793695905,0.091367,Granada Trunk Line,Water,1257,1956,6.5,0.7,25536,1.7,279000,8.0,50.0,Clay,,48.0,,7.5,1200,4,9,1,1,13,522184.14452416176,2.5,208873.6578096647,lower,141.7,-118.50220907658961,34.27941252054343,1,45,45,162.1,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
42,-118.50224082063222,34.28470451485083,-118.5022494175644,34.28388335052782,-118.5022451191,34.2842939327,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,3,1,0,11,521795.4590167753,2.5,208718.1836067101,upper,253.6,-118.50224876821885,34.28394537853943,1,45,45,16.2,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
42,-118.50224082063222,34.28470451485083,-118.5022494175644,34.28388335052782,-118.5022451191,34.2842939327,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,3,1,1,23,521795.4590167753,2.5,208718.1836067101,upper,253.6,-118.50224876821885,34.28394537853943,1,45,45,18.0,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
48,-118.50229240222517,34.2797775289128,-118.50230099915731,34.27895636458979,-118.5022967007,34.2793669468,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,9,1,1,12,522181.729020111,2.5,208872.69160804438,lower,138.3,-118.50229656266104,34.27938014414293,1,45,45,162.0,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
48,-118.50229240222517,34.2797775289128,-118.50230099915731,34.27895636458979,-118.5022967007,34.2793669468,0.091313,Old Line 120,Gas Transmission,560,1930,7.1,0.7,12333,1.3,308000,8.0,50.0,Clay,,48.0,,7.5,1300,5,9,1,0,0,522181.729020111,2.5,208872.69160804438,lower,138.3,-118.50229656266104,34.27938014414293,1,45,45,163.8,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
63,-118.50194363434528,34.283877747728454,-118.50195708299375,34.28306172101674,-118.5019503587,34.2834697344,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,4,1,0,8,521836.6424449134,2.5,208734.65697796535,upper,231.4,-118.50194703038164,34.283671692358894,1,45,45,16.4,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
63,-118.50194363434528,34.283877747728454,-118.50195708299375,34.28306172101674,-118.5019503587,34.2834697344,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,4,1,1,20,521836.6424449134,2.5,208734.65697796535,upper,231.4,-118.50194703038164,34.283671692358894,1,45,45,18.2,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
68,-118.50201087758772,34.27979761416991,-118.5020243262362,34.278981587458205,-118.5020176019,34.2793896008,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,9,1,1,16,522187.4807265768,2.5,208874.99229063073,lower,149.1,-118.50201565710005,34.279507614748404,1,45,45,161.8,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
68,-118.50201087758772,34.27979761416991,-118.5020243262362,34.278981587458205,-118.5020176019,34.2793896008,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,9,1,0,4,522187.4807265768,2.5,208874.99229063073,lower,149.1,-118.50201565710005,34.279507614748404,1,45,45,163.6,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
73,-118.5021002543714,34.28389555824752,-118.50210583803737,34.28307568044883,-118.5021030462,34.2834856193,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,4,1,0,6,521815.65083280246,2.5,208726.260333121,upper,242.8,-118.50210082897638,34.28381119305781,1,45,45,16.0,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
73,-118.5021002543714,34.28389555824752,-118.50210583803737,34.28307568044883,-118.5021030462,34.2834856193,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,4,1,1,18,521815.65083280246,2.5,208726.260333121,upper,242.8,-118.50210082897638,34.28381119305781,1,45,45,17.8,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
78,-118.50212817270112,34.27979616925408,-118.50213375636709,34.278976291455386,-118.5021309645,34.2793862304,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,9,1,1,14,522186.31172823394,2.5,208874.52469129357,lower,142.8,-118.502130587796,34.279441567199676,1,45,45,162.2,4.0,160.0,0.1402,0.6,0.25,lognormal,0.524863771479486,-2.111563290376131,ground_slope
78,-118.50212817270112,34.27979616925408,-118.50213375636709,34.278976291455386,-118.5021309645,34.2793862304,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,9,1,0,2,522186.31172823394,2.5,208874.52469129357,lower,142.8,-118.502130587796,34.279441567199676,1,45,45,164.0,1.0,161.8,0.088,0.6,0.25,lognormal,1.448046598801863,-3.429439917211136,ground_slope
