,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID
segment_1,-118.502024,34.286341,-118.502027,34.285651,-118.502025,34.285996
segment_2,-118.502027,34.285651,-118.50203,34.28496,-118.502029,34.285306
segment_3,-118.50203,34.28496,-118.502034,34.28427,-118.502032,34.284615
segment_4,-118.502034,34.28427,-118.502034,34.283814,-118.502034,34.284042
segment_5,-118.502034,34.283814,-118.502034,34.283357,-118.502034,34.283585
segment_6,-118.502034,34.283357,-118.502147,34.283204,-118.50209,34.283281
segment_7,-118.502147,34.283204,-118.502151,34.282519,-118.502149,34.282861
segment_8,-118.502151,34.282519,-118.502155,34.281833,-118.502153,34.282176
segment_9,-118.502155,34.281833,-118.502159,34.281148,-118.502157,34.281491
segment_10,-118.502159,34.281148,-118.502819,34.281151,-118.502489,34.28115
segment_11,-118.502819,34.281151,-118.50348,34.281154,-118.50315,34.281152
segment_12,-118.502157,34.282986,-118.502003,34.282926,-118.50208,34.282956
segment_13,-118.502003,34.282926,-118.502015,34.282033,-118.502009,34.28248
segment_14,-118.502015,34.282033,-118.502027,34.281139,-118.502021,34.281586
segment_15,-118.502027,34.281139,-118.502039,34.280245,-118.502033,34.280692
segment_16,-118.502039,34.280245,-118.502052,34.279351,-118.502046,34.279798
segment_17,-118.502052,34.279351,-118.501403,34.279355,-118.501727,34.279353
segment_18,-118.501403,34.279355,-118.500754,34.279359,-118.501079,34.279357
segment_19,-118.501942,34.28633,-118.501953,34.285525,-118.501948,34.285927
segment_20,-118.501953,34.285525,-118.501964,34.284719,-118.501959,34.285122
segment_21,-118.501964,34.284719,-118.501975,34.283914,-118.50197,34.284317
segment_22,-118.501975,34.283914,-118.501986,34.283109,-118.501981,34.283511
segment_23,-118.501986,34.283109,-118.50207,34.28293,-118.502028,34.283019
segment_24,-118.50207,34.28293,-118.502072,34.282134,-118.502071,34.282532
segment_25,-118.502072,34.282134,-118.502074,34.281339,-118.502073,34.281737
segment_26,-118.502074,34.281339,-118.502076,34.280544,-118.502075,34.280942
segment_27,-118.502076,34.280544,-118.502079,34.279749,-118.502078,34.280146
segment_28,-118.502079,34.279749,-118.502081,34.278953,-118.50208,34.279351
segment_29,-118.502081,34.278953,-118.502083,34.278158,-118.502082,34.278556
segment_30,-118.502149,34.286354,-118.502156,34.285532,-118.502152,34.285943
segment_31,-118.502156,34.285532,-118.502163,34.28471,-118.502159,34.285121
segment_32,-118.502163,34.28471,-118.50217,34.283889,-118.502166,34.2843
segment_33,-118.50217,34.283889,-118.502177,34.283067,-118.502174,34.283478
segment_34,-118.502177,34.283067,-118.502184,34.282245,-118.502181,34.282656
segment_35,-118.502184,34.282245,-118.502192,34.281424,-118.502188,34.281835
segment_36,-118.502192,34.281424,-118.502199,34.280602,-118.502195,34.281013
segment_37,-118.502199,34.280602,-118.502206,34.27978,-118.502202,34.280191
segment_38,-118.502206,34.27978,-118.502213,34.278959,-118.502209,34.27937
segment_39,-118.502213,34.278959,-118.50222,34.278137,-118.502217,34.278548
segment_40,-118.502224,34.286347,-118.502232,34.285526,-118.502228,34.285936
segment_41,-118.502232,34.285526,-118.502241,34.284705,-118.502237,34.285115
segment_42,-118.502241,34.284705,-118.502249,34.283883,-118.502245,34.284294
segment_43,-118.502249,34.283883,-118.502258,34.283062,-118.502254,34.283473
segment_44,-118.502258,34.283062,-118.502267,34.282241,-118.502262,34.282652
segment_45,-118.502267,34.282241,-118.502275,34.28142,-118.502271,34.28183
segment_46,-118.502275,34.28142,-118.502284,34.280599,-118.50228,34.281009
segment_47,-118.502284,34.280599,-118.502292,34.279778,-118.502288,34.280188
segment_48,-118.502292,34.279778,-118.502301,34.278956,-118.502297,34.279367
segment_49,-118.502301,34.278956,-118.50231,34.278135,-118.502305,34.278546
segment_50,-118.501983,34.286336,-118.50199,34.285601,-118.501987,34.285969
segment_51,-118.50199,34.285601,-118.501998,34.284867,-118.501994,34.285234
segment_52,-118.501998,34.284867,-118.502005,34.284132,-118.502001,34.284499
segment_53,-118.502005,34.284132,-118.501028,34.284125,-118.501516,34.284128
segment_54,-118.501028,34.284125,-118.501038,34.283346,-118.501033,34.283735
segment_55,-118.501038,34.283346,-118.501048,34.282567,-118.501043,34.282956
segment_56,-118.501048,34.282567,-118.501059,34.281788,-118.501053,34.282177
segment_57,-118.501059,34.281788,-118.501069,34.281008,-118.501064,34.281398
segment_58,-118.501069,34.281008,-118.501079,34.280229,-118.501074,34.280619
segment_59,-118.501079,34.280229,-118.500355,34.280213,-118.500717,34.280221
segment_60,-118.501903,34.286326,-118.501917,34.28551,-118.50191,34.285918
segment_61,-118.501917,34.28551,-118.50193,34.284694,-118.501923,34.285102
segment_62,-118.50193,34.284694,-118.501944,34.283878,-118.501937,34.284286
segment_63,-118.501944,34.283878,-118.501957,34.283062,-118.50195,34.28347
segment_64,-118.501957,34.283062,-118.501971,34.282246,-118.501964,34.282654
segment_65,-118.501971,34.282246,-118.501984,34.28143,-118.501977,34.281838
segment_66,-118.501984,34.28143,-118.501997,34.280614,-118.501991,34.281022
segment_67,-118.501997,34.280614,-118.502011,34.279798,-118.502004,34.280206
segment_68,-118.502011,34.279798,-118.502024,34.278982,-118.502018,34.27939
segment_69,-118.502024,34.278982,-118.502038,34.278166,-118.502031,34.278574
segment_70,-118.502084,34.286355,-118.502089,34.285535,-118.502086,34.285945
segment_71,-118.502089,34.285535,-118.502095,34.284715,-118.502092,34.285125
segment_72,-118.502095,34.284715,-118.5021,34.283896,-118.502097,34.284305
segment_73,-118.5021,34.283896,-118.502106,34.283076,-118.502103,34.283486
segment_74,-118.502106,34.283076,-118.502111,34.282256,-118.502109,34.282666
segment_75,-118.502111,34.282256,-118.502117,34.281436,-118.502114,34.281846
segment_76,-118.502117,34.281436,-118.502123,34.280616,-118.50212,34.281026
segment_77,-118.502123,34.280616,-118.502128,34.279796,-118.502125,34.280206
segment_78,-118.502128,34.279796,-118.502134,34.278976,-118.502131,34.279386
segment_79,-118.502134,34.278976,-118.502139,34.278156,-118.502137,34.278566
