phi_soil_mean,phi_soil_sigma,phi_soil_low,phi_soil_high,phi_soil_dist_type,d_production_boring,d_production_casing,d_tubing,casing_flow,z_top_of_cement,theta_mean,theta_sigma,theta_low,theta_high,theta_dist_type,w_fc_mean,w_fc_sigma,w_fc_low,w_fc_high,w_fc_dist_type,w_dz_mean,w_dz_sigma,w_dz_low,w_dz_high,w_dz_dist_type,z_crossing_mean,z_crossing_sigma,z_crossing_low,z_crossing_high,z_crossing_dist_type,e_rock_mean,e_rock_sigma,e_rock_low,e_rock_high,e_rock_dist_type,phi_cmt_mean,phi_cmt_sigma,phi_cmt_low,phi_cmt_high,phi_cmt_dist_type,ucs_cmt_mean,ucs_cmt_sigma,ucs_cmt_low,ucs_cmt_high,ucs_cmt_dist_type,height_wh_mean,height_wh_sigma,height_wh_low,height_wh_high,height_wh_dist_type,mpl_wh_mean,mpl_wh_sigma,mpl_wh_low,mpl_wh_high,mpl_wh_dist_type,level_to_run
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.073025,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.0889,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.0889,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.073025,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.073025,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.073025,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.0889,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.073025,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.073025,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.073025,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.1143,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,5000,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.31115,0.244475,0.073025,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
33.0,3.0,29.0,40.0,normal,0.250825,0.1778,0.0889,False,100,event_dependent,10.0,20.0,70.0,normal,-4.074541934925921,1.0,-7.574541934925921,-1.5745419349259206,lognormal,0.09531017980432493,0.5,-1.529689820195675,1.470310179804325,lognormal,event_dependent,457.2,76.2,2362.2,normal,event_dependent,3.9,0.0,inf,normal,25.0,5.0,0.0,inf,normal,60.0,12.0,0.0,inf,normal,3.048,0.3048,2.1336,3.9624,normal,1072.2,178.70000000000002,357.40000000000003,1787.0,normal,1
